outcome,time_to_insert_s,peak_contact_force,contact_events,jerk_integral,n_steps,duration_s,seed,config_label,success
force_abort,,52.98830458618796,1,13.65216103146566,1024,2.0459999999999963,0,human_only,False
success,2.2599999999999727,22.628111367243754,1,83.47022597741166,1157,2.311999999999967,0,residual,True
success,12.202000000000744,22.36931823173093,1,92.06833371690777,6127,12.252000000000761,1,human_only,True
success,11.882000000000637,16.274417446500337,1,344.81179146729625,5967,11.932000000000654,1,residual,True
force_abort,,33.47555535657968,1,10.757834416472306,941,1.8800000000000014,2,human_only,False
force_abort,,34.72644617865061,1,56.89171423433319,942,1.8820000000000014,2,residual,False
success,3.37599999999985,10.295077468221944,1,19.181519238037477,1715,3.427999999999844,3,human_only,True
force_abort,,32.25759699796794,1,100.88777588312959,1629,3.255999999999863,3,residual,False
success,3.493999999999837,8.615634006149934,1,11.236831707270674,1774,3.545999999999831,4,human_only,True
success,3.5759999999998278,28.259787262551257,1,167.07875099692853,1815,3.627999999999822,4,residual,True
force_abort,,38.691715501004566,1,24.574796475808967,1933,3.863999999999796,5,human_only,False
force_abort,,40.87152919846814,1,133.20157588834468,1929,3.855999999999797,5,residual,False
force_abort,,39.39574701075447,1,18.48006311629686,1344,2.685999999999926,6,human_only,False
success,2.891999999999903,27.150188264479752,1,114.0242865231944,1473,2.9439999999998974,6,residual,True
force_abort,,43.95063284748475,1,26.40189107157259,2312,4.621999999999713,7,human_only,False
success,4.8719999999996855,20.056497756659233,1,129.77526994943523,2463,4.92399999999968,7,residual,True
force_abort,,36.064283603448395,1,9.995748688011563,2078,4.1539999999997645,8,human_only,False
success,4.459999999999731,22.19621930673535,1,149.16275367465985,2257,4.511999999999725,8,residual,True
force_abort,,36.150021680849655,1,17.298685873038036,1562,3.1219999999998778,9,human_only,False
force_abort,,41.15538225882785,1,51.13174343038423,1548,3.093999999999881,9,residual,False
success,7.333999999999414,8.624452252918507,1,25.96961115261475,3694,7.385999999999409,10,human_only,True
success,7.481999999999398,22.21035856035903,1,310.088348636682,3768,7.533999999999392,10,residual,True
force_abort,,35.754600376478756,1,14.533088706584346,1113,2.2239999999999767,11,human_only,False
success,2.1419999999999857,19.95513619864204,1,82.17745163394231,1098,2.19399999999998,11,residual,True
force_abort,,30.768800652095308,1,30.168836615458737,2031,4.059999999999775,12,human_only,False
success,4.127999999999767,11.022156306067505,1,109.79406760177366,2091,4.179999999999762,12,residual,True
force_abort,,37.557768715694976,1,9.46053023962947,1140,2.2779999999999707,13,human_only,False
success,2.393999999999958,8.94758431711627,1,59.3743379549312,1224,2.445999999999952,13,residual,True
force_abort,,31.820686218075828,1,29.866586373597883,2512,5.021999999999669,14,human_only,False
success,5.049999999999666,9.492275783786095,1,115.65257676785609,2552,5.10199999999966,14,residual,True
force_abort,,30.501435557407884,1,33.10169054467289,2840,5.677999999999597,15,human_only,False
success,5.913999999999571,13.331756396793422,1,225.10773968031708,2984,5.965999999999565,15,residual,True
success,4.267999999999752,23.35373934558512,1,45.76303088661855,2161,4.319999999999746,16,human_only,True
success,4.149999999999765,24.334103883265673,1,118.33969987565581,2102,4.201999999999759,16,residual,True
force_abort,,51.68673534200403,1,6.741793768877228,597,1.1920000000000008,17,human_only,False
force_abort,,48.0061611425812,1,24.821431177283017,562,1.1220000000000008,17,residual,False
success,7.211999999999428,8.705134012524653,1,36.05035092720611,3633,7.263999999999422,18,human_only,True
success,7.087999999999441,9.022197427333271,1,83.4781354044543,3571,7.139999999999436,18,residual,True
success,10.120000000000049,25.73864816925782,1,114.38944424349773,5086,10.170000000000066,19,human_only,True
success,9.447999999999825,26.812598363003534,1,234.15606011893345,4750,9.497999999999841,19,residual,True
success,9.801999999999943,11.464681653412896,1,62.04120703376488,4927,9.85199999999996,20,human_only,True
success,9.685999999999904,17.640714671897694,1,168.35503362404995,4869,9.73599999999992,20,residual,True
force_abort,,32.60721863910921,1,18.56360891348139,2730,5.457999999999621,21,human_only,False
success,5.857999999999577,8.847687678915118,1,75.25626323964276,2956,5.909999999999571,21,residual,True
success,6.747999999999479,22.776559492154423,1,61.38604834808518,3401,6.799999999999473,22,human_only,True
success,8.313999999999446,29.74666196216733,1,269.4860382617985,4183,8.363999999999463,22,residual,True
force_abort,,36.43712082986818,1,23.383513136327334,2081,4.159999999999764,23,human_only,False
force_abort,,32.36404629349233,1,149.21413698789246,2090,4.177999999999762,23,residual,False
force_abort,,30.243307275349146,1,22.63249159537595,1300,2.5979999999999355,24,human_only,False
force_abort,,36.95687736399771,1,86.36282694351675,1303,2.603999999999935,24,residual,False
force_abort,,39.234392289051314,1,16.460136684872346,1501,2.999999999999891,25,human_only,False
force_abort,,37.80512124597651,1,68.81709453682946,1445,2.8879999999999035,25,residual,False
success,10.082000000000036,13.534769827355284,1,75.80270102656871,5067,10.132000000000053,26,human_only,True
success,10.012000000000013,16.159498723218938,1,309.36817832261136,5032,10.06200000000003,26,residual,True
force_abort,,34.39665303287354,1,22.814099175535617,2936,5.869999999999576,27,human_only,False
success,6.3059999999995275,28.16779764912275,1,249.41431786453478,3180,6.357999999999522,27,residual,True
success,4.065999999999774,8.698084404547375,1,22.29265119722549,2060,4.1179999999997685,28,human_only,True
success,4.119999999999768,9.219180375268435,1,128.91815580685878,2087,4.171999999999763,28,residual,True
force_abort,,52.544197730659754,1,19.291292092225895,1622,3.2419999999998645,29,human_only,False
force_abort,,30.910332076423842,1,273.1310577967996,4479,8.95599999999966,29,residual,False
