outcome,time_to_insert_s,peak_contact_force,contact_events,jerk_integral,n_steps,duration_s,seed,config_label,success
force_abort,,30.976056242726962,1,10.92618750380542,1014,2.0259999999999985,0,human_only,False
force_abort,,31.06337785241794,1,34.19503310905989,1029,2.055999999999995,0,residual,False
success,13.214000000001082,24.60674214575475,1,118.15307088554148,6633,13.264000000001099,1,human_only,True
success,12.336000000000789,23.403986183691472,1,397.39442861785346,6194,12.386000000000806,1,residual,True
force_abort,,37.81797773080041,1,11.983368377268366,919,1.8360000000000014,2,human_only,False
force_abort,,30.58748389475963,1,55.08002286896855,913,1.8240000000000014,2,residual,False
force_abort,,32.45305565807112,1,12.107193384901095,1592,3.181999999999871,3,human_only,False
success,3.3059999999998575,12.872154569925957,1,119.83685845338694,1680,3.3579999999998518,3,residual,True
force_abort,,44.95426539517723,1,14.257632555274654,1675,3.347999999999853,4,human_only,False
force_abort,,33.3225125141964,1,106.15018763667032,1678,3.353999999999852,4,residual,False
force_abort,,41.070240299496646,1,24.335641852808322,1931,3.8599999999997965,5,human_only,False
force_abort,,30.374114718346704,1,137.07986033466372,1921,3.8399999999997987,5,residual,False
force_abort,,30.22153045557526,1,15.763694225226471,1346,2.6899999999999253,6,human_only,False
force_abort,,32.9080920060432,1,73.55925225730007,1347,2.691999999999925,6,residual,False
force_abort,,34.05757612056496,1,25.47820543965959,2310,4.6179999999997134,7,human_only,False
force_abort,,41.368127559336614,1,78.85512765072056,2307,4.611999999999714,7,residual,False
force_abort,,31.399841823334313,1,11.527832973985944,2053,4.10399999999977,8,human_only,False
force_abort,,31.7577810323354,1,77.37751964614671,2089,4.175999999999762,8,residual,False
force_abort,,31.82299552762846,1,16.840964993970413,1569,3.135999999999876,9,human_only,False
force_abort,,35.220207744529766,1,50.76616625674292,1540,3.0779999999998826,9,residual,False
success,7.453999999999401,26.726810887411055,1,45.16998518503959,3754,7.505999999999395,10,human_only,True
force_abort,,36.360301911934805,1,257.99534368317387,3565,7.127999999999437,10,residual,False
force_abort,,35.22194465253043,1,11.259285088336423,1075,2.147999999999985,11,human_only,False
force_abort,,60.62916951122188,1,69.73098657941648,1023,2.0439999999999965,11,residual,False
success,4.213999999999758,26.542156252990164,1,48.364446754785675,2134,4.265999999999752,12,human_only,True
force_abort,,30.626901311267353,1,102.34168900011721,2018,4.033999999999778,12,residual,False
force_abort,,39.41978087866694,1,9.212866905919546,1128,2.2539999999999734,13,human_only,False
force_abort,,53.28165681423139,1,54.275273914551406,1136,2.2699999999999716,13,residual,False
success,5.19799999999965,23.60775324831171,1,42.73991881204685,2626,5.249999999999644,14,human_only,True
success,5.117999999999658,23.07534781846316,1,138.42271589491264,2586,5.169999999999653,14,residual,True
timeout,,19.506994100017273,1,94.08196410573078,9000,17.998000000000903,15,human_only,False
timeout,,19.741077500270006,1,323.26165018011767,9000,17.998000000000903,15,residual,False
force_abort,,30.663089247447044,1,21.78297236425061,1985,3.9679999999997846,16,human_only,False
force_abort,,32.379138880488654,1,73.68346301266543,1981,3.9599999999997855,16,residual,False
force_abort,,44.06797874071837,1,8.864694720653304,592,1.1820000000000008,17,human_only,False
force_abort,,32.77493864159016,1,23.134554685012034,561,1.1200000000000008,17,residual,False
timeout,,25.042681336401056,1,110.77094376775707,9000,17.998000000000903,18,human_only,False
force_abort,,32.31828280036873,1,125.6195645505309,3728,7.453999999999401,18,residual,False
timeout,,24.23437320203241,1,62.22242423511656,9000,17.998000000000903,19,human_only,False
success,11.032000000000354,23.645714058072876,1,264.5923838092996,5542,11.08200000000037,19,residual,True
success,10.324000000000117,23.87563154725584,1,95.78849193137913,5188,10.374000000000134,20,human_only,True
success,9.88399999999997,13.977089250652808,1,182.35549882233968,4968,9.933999999999987,20,residual,True
force_abort,,32.31562132711154,1,18.877666015496715,2694,5.385999999999629,21,human_only,False
force_abort,,45.994459380403875,1,75.0970872977588,2762,5.521999999999614,21,residual,False
force_abort,,30.248523348030744,1,31.561633646905793,3185,6.367999999999521,22,human_only,False
force_abort,,30.47347559153087,1,136.95528080358125,3193,6.383999999999519,22,residual,False
force_abort,,31.31391020825082,1,46.59291538140991,2147,4.291999999999749,23,human_only,False
force_abort,,31.43660068948783,1,150.22139200839518,2092,4.1819999999997615,23,residual,False
force_abort,,45.763267245734575,1,19.371416650217352,1303,2.603999999999935,24,human_only,False
force_abort,,34.24198450562432,1,92.60657229960644,1304,2.6059999999999346,24,residual,False
force_abort,,34.35754719938797,1,14.26299114313146,1503,3.0039999999998908,25,human_only,False
force_abort,,31.65318799814266,1,71.6454684245299,1465,2.927999999999899,25,residual,False
force_abort,,30.11613233925623,1,83.53789992191116,5472,10.942000000000323,26,human_only,False
timeout,,28.220622651318852,1,405.22601469041234,9000,17.998000000000903,26,residual,False
force_abort,,30.279175082677437,1,26.029016465335875,2932,5.861999999999576,27,human_only,False
force_abort,,34.22943200917847,1,176.93702217920847,2975,5.947999999999567,27,residual,False
success,7.809999999999362,27.548244586434155,1,140.64799125354307,3932,7.861999999999356,28,human_only,True
success,8.431999999999485,22.940508387035294,1,232.13023221465227,4242,8.481999999999502,28,residual,True
force_abort,,31.7576697001455,1,18.808392676703804,1606,3.209999999999868,29,human_only,False
timeout,,29.1532370824833,1,586.5666053921492,9000,17.998000000000903,29,residual,False
