outcome,time_to_insert_s,peak_contact_force,contact_events,jerk_integral,n_steps,duration_s,seed,config_label,success
force_abort,,30.546198953871393,1,11.319233219138495,1074,2.1459999999999853,0,human_only,False
success,2.2519999999999736,9.378637763853627,1,40.19117087275477,1153,2.303999999999968,0,residual,True
success,15.420000000001819,25.940540526913395,1,288.97890589081965,7736,15.470000000001836,1,human_only,True
force_abort,,32.4010609548878,1,160.7121511132856,5611,11.220000000000416,1,residual,False
force_abort,,48.273749641415804,1,10.082561438138292,920,1.8380000000000014,2,human_only,False
force_abort,,40.19251967070397,1,36.976724272950506,927,1.8520000000000014,2,residual,False
success,3.37599999999985,10.295027015869401,1,19.18823033510971,1715,3.427999999999844,3,human_only,True
force_abort,,39.67008073041044,1,84.83041516232998,1711,3.419999999999845,3,residual,False
success,3.493999999999837,8.615634006149934,1,11.236165445576667,1774,3.545999999999831,4,human_only,True
success,3.5039999999998357,22.443338444620995,1,93.71115199006759,1779,3.55599999999983,4,residual,True
force_abort,,38.66881841569044,1,24.573425551745892,1933,3.863999999999796,5,human_only,False
force_abort,,45.43551553260088,1,56.85438545688436,1934,3.865999999999796,5,residual,False
force_abort,,39.67226509140222,1,18.391499095384376,1344,2.685999999999926,6,human_only,False
success,2.8499999999999077,23.69790749648245,1,73.15614382303633,1452,2.901999999999902,6,residual,True
force_abort,,43.988756416955006,1,26.402213966262757,2312,4.621999999999713,7,human_only,False
force_abort,,35.93691480110528,1,62.528503104913014,2312,4.621999999999713,7,residual,False
force_abort,,36.02689769194655,1,9.992770364761233,2078,4.1539999999997645,8,human_only,False
force_abort,,34.31524799413567,1,258.8592387087165,2086,4.169999999999763,8,residual,False
force_abort,,36.15072560832091,1,17.298763826618305,1562,3.1219999999998778,9,human_only,False
force_abort,,30.370187859944355,1,97.34620638113618,1562,3.1219999999998778,9,residual,False
success,7.333999999999414,8.62446169120877,1,25.970313472178088,3694,7.385999999999409,10,human_only,True
success,7.293999999999419,9.448176702754182,1,67.2025313530608,3674,7.345999999999413,10,residual,True
force_abort,,35.74462471143009,1,14.532356953637724,1113,2.2239999999999767,11,human_only,False
success,2.3459999999999632,21.88622573804979,1,74.51846581580251,1200,2.3979999999999575,11,residual,True
force_abort,,30.76843936740759,1,30.17143095827005,2031,4.059999999999775,12,human_only,False
success,4.229999999999756,15.92318782288931,1,208.50563491047828,2142,4.2819999999997505,12,residual,True
force_abort,,37.806205104674895,1,9.473137738657488,1140,2.2779999999999707,13,human_only,False
force_abort,,40.77991885093403,1,42.85408228662551,1129,2.255999999999973,13,residual,False
force_abort,,31.820096799738185,1,29.865196765979835,2512,5.021999999999669,14,human_only,False
success,5.231999999999646,22.51991718438727,1,130.97813043329168,2643,5.28399999999964,14,residual,True
force_abort,,30.317099500194228,1,33.341152629431704,2844,5.685999999999596,15,human_only,False
success,6.6059999999994945,21.68170286442832,1,125.95327924477326,3330,6.657999999999489,15,residual,True
success,4.267999999999752,23.39172785526232,1,47.61675586866609,2161,4.319999999999746,16,human_only,True
success,4.295999999999749,27.348148552861684,1,140.17905388286658,2175,4.347999999999743,16,residual,True
force_abort,,51.72283599624191,1,6.751218326604533,597,1.1920000000000008,17,human_only,False
force_abort,,47.56974939671215,1,21.73802486238832,598,1.1940000000000008,17,residual,False
success,7.211999999999428,8.705134012524653,1,36.04936768933811,3633,7.263999999999422,18,human_only,True
success,7.183999999999431,9.369913309478456,1,81.6365189407639,3619,7.235999999999425,18,residual,True
success,10.120000000000049,26.69207960311265,1,117.75002463765276,5086,10.170000000000066,19,human_only,True
success,9.473999999999833,9.360598979036938,1,152.12073867737553,4763,9.52399999999985,19,residual,True
success,9.801999999999943,11.046839478467772,1,62.61276276264772,4927,9.85199999999996,20,human_only,True
success,9.663999999999897,13.41015771628087,1,149.8449289597525,4858,9.713999999999913,20,residual,True
force_abort,,32.824304480961004,1,18.592694219710086,2730,5.457999999999621,21,human_only,False
success,5.7159999999995925,9.460026231430371,1,70.63486093735582,2885,5.767999999999587,21,residual,True
success,6.747999999999479,22.76377599741884,1,61.39353722094802,3401,6.799999999999473,22,human_only,True
success,6.7879999999994745,21.005899638754304,1,170.8945320079354,3421,6.839999999999469,22,residual,True
force_abort,,36.432053104060785,1,23.332724203698014,2081,4.159999999999764,23,human_only,False
force_abort,,30.575881580042022,1,56.36738355766706,2093,4.183999999999761,23,residual,False
force_abort,,30.24177897304836,1,22.607923959071506,1300,2.5979999999999355,24,human_only,False
force_abort,,40.15370022847473,1,52.53656997998246,1317,2.6319999999999317,24,residual,False
force_abort,,39.23511773481224,1,16.462387818193584,1501,2.999999999999891,25,human_only,False
force_abort,,30.50122685987088,1,62.19439636630674,1517,3.0319999999998877,25,residual,False
