outcome,time_to_insert_s,peak_contact_force,contact_events,jerk_integral,n_steps,duration_s,seed,config_label,success
force_abort,,30.546198953871393,1,11.319233219138495,1074,2.1459999999999853,0,human_only,False
force_abort,,39.71384262380592,1,94.0118454737181,1063,2.1239999999999877,0,residual,False
success,15.420000000001819,25.940540526913395,1,288.97890589081965,7736,15.470000000001836,1,human_only,True
timeout,,23.608348916451316,1,1209.1519428053475,9000,17.998000000000903,1,residual,False
force_abort,,48.273749641415804,1,10.082561438138292,920,1.8380000000000014,2,human_only,False
force_abort,,43.98964670900551,1,51.657989176862564,942,1.8820000000000014,2,residual,False
success,3.37599999999985,10.295027015869401,1,19.18823033510971,1715,3.427999999999844,3,human_only,True
force_abort,,31.80017940190504,1,206.82043901524875,1638,3.273999999999861,3,residual,False
success,3.493999999999837,8.615634006149934,1,11.236165445576667,1774,3.545999999999831,4,human_only,True
force_abort,,30.344456821785556,1,108.94490991815752,1684,3.365999999999851,4,residual,False
force_abort,,38.66881841569044,1,24.573425551745892,1933,3.863999999999796,5,human_only,False
force_abort,,34.557616537043984,1,191.30180317982573,1912,3.8219999999998007,5,residual,False
force_abort,,39.67226509140222,1,18.391499095384376,1344,2.685999999999926,6,human_only,False
force_abort,,33.71392813604825,1,126.41298853130128,1354,2.7059999999999236,6,residual,False
force_abort,,43.988756416955006,1,26.402213966262757,2312,4.621999999999713,7,human_only,False
force_abort,,47.996249711248645,1,245.86799279347514,2322,4.641999999999711,7,residual,False
force_abort,,36.02689769194655,1,9.992770364761233,2078,4.1539999999997645,8,human_only,False
force_abort,,30.661017092041142,1,115.3922076793323,2168,4.333999999999745,8,residual,False
force_abort,,36.15072560832091,1,17.298763826618305,1562,3.1219999999998778,9,human_only,False
force_abort,,42.81836560744343,1,79.19595492081504,1577,3.1519999999998745,9,residual,False
success,7.333999999999414,8.62446169120877,1,25.970313472178088,3694,7.385999999999409,10,human_only,True
success,7.527999999999393,22.86214946627381,1,353.01882335729954,3791,7.579999999999387,10,residual,True
force_abort,,35.74462471143009,1,14.532356953637724,1113,2.2239999999999767,11,human_only,False
force_abort,,39.81189232487945,1,48.50084710405707,1064,2.1259999999999875,11,residual,False
force_abort,,30.76843936740759,1,30.17143095827005,2031,4.059999999999775,12,human_only,False
success,4.201999999999759,29.737523247931435,1,192.67318232034316,2128,4.2539999999997535,12,residual,True
force_abort,,37.806205104674895,1,9.473137738657488,1140,2.2779999999999707,13,human_only,False
force_abort,,34.816999511722834,1,99.05669203271562,1188,2.37399999999996,13,residual,False
force_abort,,31.820096799738185,1,29.865196765979835,2512,5.021999999999669,14,human_only,False
success,5.127999999999657,15.819064963073764,1,431.782945808396,2591,5.1799999999996515,14,residual,True
force_abort,,30.317099500194228,1,33.341152629431704,2844,5.685999999999596,15,human_only,False
force_abort,,33.95579797192042,1,318.1931654667058,2825,5.6479999999996,15,residual,False
success,4.267999999999752,23.39172785526232,1,47.61675586866609,2161,4.319999999999746,16,human_only,True
success,4.205999999999759,25.136895167563445,1,155.51011074296912,2130,4.257999999999753,16,residual,True
force_abort,,51.72283599624191,1,6.751218326604533,597,1.1920000000000008,17,human_only,False
force_abort,,59.58791607000113,1,71.30118759176978,577,1.1520000000000008,17,residual,False
success,7.211999999999428,8.705134012524653,1,36.04936768933811,3633,7.263999999999422,18,human_only,True
success,12.498000000000843,24.812929618122617,1,285.52656947884753,6275,12.54800000000086,18,residual,True
success,10.120000000000049,26.69207960311265,1,117.75002463765276,5086,10.170000000000066,19,human_only,True
force_abort,,33.94000704964726,1,582.3508399250366,4447,8.891999999999639,19,residual,False
success,9.801999999999943,11.046839478467772,1,62.61276276264772,4927,9.85199999999996,20,human_only,True
force_abort,,30.81050744367402,1,430.39284436553135,4653,9.303999999999776,20,residual,False
force_abort,,32.824304480961004,1,18.592694219710086,2730,5.457999999999621,21,human_only,False
success,5.861999999999576,15.496494012249778,1,126.87338488588377,2958,5.913999999999571,21,residual,True
success,6.747999999999479,22.76377599741884,1,61.39353722094802,3401,6.799999999999473,22,human_only,True
force_abort,,32.54412592344054,1,301.27232924918803,3146,6.289999999999529,22,residual,False
force_abort,,36.432053104060785,1,23.332724203698014,2081,4.159999999999764,23,human_only,False
force_abort,,39.200753096910695,1,219.29514396440874,2069,4.1359999999997665,23,residual,False
force_abort,,30.24177897304836,1,22.607923959071506,1300,2.5979999999999355,24,human_only,False
force_abort,,35.19244374138256,1,190.04696541405104,1303,2.603999999999935,24,residual,False
force_abort,,39.23511773481224,1,16.462387818193584,1501,2.999999999999891,25,human_only,False
force_abort,,53.78724573398432,1,156.80502187155474,1476,2.9499999999998967,25,residual,False
success,10.082000000000036,13.886201068960771,1,74.62431285210634,5067,10.132000000000053,26,human_only,True
success,10.00200000000001,17.952893031652557,1,648.1223924152819,5027,10.052000000000026,26,residual,True
force_abort,,34.43952819494776,1,22.814625508857453,2936,5.869999999999576,27,human_only,False
force_abort,,32.30936709103555,1,219.41969968972882,2958,5.913999999999571,27,residual,False
success,4.065999999999774,8.750690480943142,1,22.42282129723592,2060,4.1179999999997685,28,human_only,True
success,4.045999999999776,13.032085877350074,1,199.57100262244904,2050,4.097999999999771,28,residual,True
force_abort,,52.5558927282092,1,19.28977540243205,1622,3.2419999999998645,29,human_only,False
timeout,,29.620944737181304,1,776.903638150168,9000,17.998000000000903,29,residual,False
force_abort,,42.00804209389893,1,25.319393349070896,2325,4.64799999999971,30,human_only,False
force_abort,,30.767930553594113,1,222.69186345398643,2296,4.5899999999997165,30,residual,False
success,5.135999999999656,8.683587964068044,1,26.88867664866291,2595,5.187999999999651,31,human_only,True
force_abort,,31.591396843487708,1,195.85863904255388,2489,4.975999999999674,31,residual,False
force_abort,,32.390906923794894,1,33.959355283219864,2863,5.723999999999592,32,human_only,False
force_abort,,30.646498312376593,1,222.37132376447624,2884,5.765999999999587,32,residual,False
success,6.64399999999949,18.11090978497795,1,58.836775110774845,3349,6.695999999999485,33,human_only,True
success,6.869999999999465,11.444601139242781,1,322.82575831019267,3462,6.92199999999946,33,residual,True
timeout,,19.497967570958327,1,84.1786907972738,9000,17.998000000000903,34,human_only,False
force_abort,,40.857533122266624,1,122.4906103518981,1658,3.3139999999998566,34,residual,False
success,9.879999999999969,15.258983492197304,1,55.964822545293515,4966,9.929999999999986,35,human_only,True
success,10.066000000000031,25.092800439330656,1,571.0090669755616,5059,10.116000000000048,35,residual,True
