outcome,time_to_insert_s,peak_contact_force,contact_events,jerk_integral,n_steps,duration_s,seed,config_label,success
force_abort,,30.546198953871393,1,11.319233219138495,1074,2.1459999999999853,0,human_only,False
success,2.3419999999999637,9.271101609820208,1,27.255435995424833,1198,2.393999999999958,0,residual,True
success,15.420000000001819,25.940540526913395,1,288.97890589081965,7736,15.470000000001836,1,human_only,True
success,16.980000000001468,25.87187726950504,1,313.5203941047457,8517,17.03200000000144,1,residual,True
force_abort,,48.273749641415804,1,10.082561438138292,920,1.8380000000000014,2,human_only,False
force_abort,,38.98226085037994,1,22.600696890082883,937,1.8720000000000014,2,residual,False
success,3.37599999999985,10.295027015869401,1,19.18823033510971,1715,3.427999999999844,3,human_only,True
force_abort,,38.37578632528126,1,36.92579116187603,1634,3.265999999999862,3,residual,False
success,3.493999999999837,8.615634006149934,1,11.236165445576667,1774,3.545999999999831,4,human_only,True
force_abort,,33.43139784159387,1,32.85073863935459,1694,3.3859999999998487,4,residual,False
force_abort,,38.66881841569044,1,24.573425551745892,1933,3.863999999999796,5,human_only,False
force_abort,,30.740273057852672,1,42.01366829520975,1942,3.881999999999794,5,residual,False
force_abort,,39.67226509140222,1,18.391499095384376,1344,2.685999999999926,6,human_only,False
success,3.0339999999998875,29.091611160906364,1,53.159499280586985,1544,3.0859999999998817,6,residual,True
force_abort,,43.988756416955006,1,26.402213966262757,2312,4.621999999999713,7,human_only,False
success,5.0079999999996705,16.478016314033155,1,87.03763078819094,2531,5.059999999999665,7,residual,True
force_abort,,36.02689769194655,1,9.992770364761233,2078,4.1539999999997645,8,human_only,False
force_abort,,59.060271563630444,1,36.88744777026722,2068,4.133999999999767,8,residual,False
force_abort,,36.15072560832091,1,17.298763826618305,1562,3.1219999999998778,9,human_only,False
force_abort,,55.96921904409848,1,30.297995015546654,1549,3.0959999999998806,9,residual,False
success,7.333999999999414,8.62446169120877,1,25.970313472178088,3694,7.385999999999409,10,human_only,True
success,10.590000000000206,22.08560291875274,1,123.21663672782972,5321,10.640000000000223,10,residual,True
force_abort,,35.74462471143009,1,14.532356953637724,1113,2.2239999999999767,11,human_only,False
force_abort,,38.97524557320318,1,29.14301122018819,1124,2.2459999999999742,11,residual,False
force_abort,,30.76843936740759,1,30.17143095827005,2031,4.059999999999775,12,human_only,False
success,4.19799999999976,23.927090682396972,1,54.258619172545664,2126,4.249999999999754,12,residual,True
force_abort,,37.806205104674895,1,9.473137738657488,1140,2.2779999999999707,13,human_only,False
force_abort,,39.58899688484508,1,21.54835322747531,1134,2.265999999999972,13,residual,False
force_abort,,31.820096799738185,1,29.865196765979835,2512,5.021999999999669,14,human_only,False
success,5.2799999999996405,24.90002512704972,1,94.97059390733074,2667,5.331999999999635,14,residual,True
force_abort,,30.317099500194228,1,33.341152629431704,2844,5.685999999999596,15,human_only,False
success,6.415999999999515,27.496352162041326,1,100.80075731006986,3235,6.46799999999951,15,residual,True
success,4.267999999999752,23.39172785526232,1,47.61675586866609,2161,4.319999999999746,16,human_only,True
success,4.327999999999745,26.328127471979986,1,60.84475555651319,2191,4.37999999999974,16,residual,True
force_abort,,51.72283599624191,1,6.751218326604533,597,1.1920000000000008,17,human_only,False
force_abort,,33.89486300230375,1,19.408873339636024,625,1.2480000000000009,17,residual,False
success,7.211999999999428,8.705134012524653,1,36.04936768933811,3633,7.263999999999422,18,human_only,True
success,7.253999999999423,9.143789406955136,1,65.71923206560889,3654,7.305999999999417,18,residual,True
success,10.120000000000049,26.69207960311265,1,117.75002463765276,5086,10.170000000000066,19,human_only,True
success,9.61199999999988,17.251686396041915,1,93.89047808446651,4832,9.661999999999896,19,residual,True
success,9.801999999999943,11.046839478467772,1,62.61276276264772,4927,9.85199999999996,20,human_only,True
success,9.863999999999963,10.506301722336184,1,105.70958757063323,4958,9.91399999999998,20,residual,True
force_abort,,32.824304480961004,1,18.592694219710086,2730,5.457999999999621,21,human_only,False
force_abort,,46.773604084103305,1,48.276325030699525,2861,5.719999999999592,21,residual,False
success,6.747999999999479,22.76377599741884,1,61.39353722094802,3401,6.799999999999473,22,human_only,True
force_abort,,30.0314424893618,1,63.78842643186075,3133,6.263999999999532,22,residual,False
force_abort,,36.432053104060785,1,23.332724203698014,2081,4.159999999999764,23,human_only,False
force_abort,,52.52389255518175,1,42.4372797236725,2098,4.19399999999976,23,residual,False
force_abort,,30.24177897304836,1,22.607923959071506,1300,2.5979999999999355,24,human_only,False
force_abort,,41.96149533404078,1,33.081052244462825,1306,2.609999999999934,24,residual,False
force_abort,,39.23511773481224,1,16.462387818193584,1501,2.999999999999891,25,human_only,False
force_abort,,39.55641363160917,1,31.84175839309535,1466,2.929999999999899,25,residual,False
success,10.082000000000036,13.886201068960771,1,74.62431285210634,5067,10.132000000000053,26,human_only,True
success,10.048000000000025,16.785001185194282,1,115.11287355656799,5050,10.098000000000042,26,residual,True
force_abort,,34.43952819494776,1,22.814625508857453,2936,5.869999999999576,27,human_only,False
force_abort,,35.94593812723347,1,53.23950689395648,3004,6.005999999999561,27,residual,False
success,4.065999999999774,8.750690480943142,1,22.42282129723592,2060,4.1179999999997685,28,human_only,True
success,4.367999999999741,15.921868470261543,1,58.116827555765596,2211,4.419999999999735,28,residual,True
force_abort,,52.5558927282092,1,19.28977540243205,1622,3.2419999999998645,29,human_only,False
force_abort,,32.65940452566215,1,35.4422459913517,1615,3.227999999999866,29,residual,False
force_abort,,42.00804209389893,1,25.319393349070896,2325,4.64799999999971,30,human_only,False
force_abort,,30.724261809018245,1,50.32496986256409,2371,4.7399999999997,30,residual,False
success,5.135999999999656,8.683587964068044,1,26.88867664866291,2595,5.187999999999651,31,human_only,True
success,5.215999999999648,9.370025097015663,1,45.045323541846145,2635,5.267999999999642,31,residual,True
force_abort,,32.390906923794894,1,33.959355283219864,2863,5.723999999999592,32,human_only,False
force_abort,,31.14302022372744,1,52.63720617663686,2856,5.709999999999593,32,residual,False
success,6.64399999999949,18.11090978497795,1,58.836775110774845,3349,6.695999999999485,33,human_only,True
success,6.697999999999484,9.547103746255326,1,88.25282300085698,3376,6.749999999999479,33,residual,True
timeout,,19.497967570958327,1,84.1786907972738,9000,17.998000000000903,34,human_only,False
force_abort,,36.79195139268334,1,32.737188457268964,1662,3.3219999999998557,34,residual,False
success,9.879999999999969,15.258983492197304,1,55.964822545293515,4966,9.929999999999986,35,human_only,True
success,9.982000000000003,8.934624104647122,1,109.23691205606649,5017,10.03200000000002,35,residual,True
force_abort,,34.88701970073266,1,19.241679130315333,2395,4.787999999999695,36,human_only,False
success,5.073999999999663,8.909751666303281,1,57.68659351814661,2564,5.1259999999996575,36,residual,True
timeout,,14.553959167212033,1,99.34256543620653,9000,17.998000000000903,37,human_only,False
success,11.716000000000582,8.864693605646954,1,119.6732005349038,5884,11.766000000000599,37,residual,True
force_abort,,37.32171892014381,1,9.167732618603694,1233,2.4639999999999502,38,human_only,False
timeout,,27.085157399532424,1,342.12530846844174,9000,17.998000000000903,38,residual,False
success,7.475999999999399,20.467956424600366,1,66.70531820471396,3765,7.527999999999393,39,human_only,True
success,7.721999999999372,17.59245339183786,1,76.57789227692675,3888,7.773999999999366,39,residual,True
success,3.4059999999998465,22.62611737575368,1,36.2641733577419,1730,3.4579999999998408,40,human_only,True
force_abort,,30.617735971794833,1,35.728018473033956,1694,3.3859999999998487,40,residual,False
success,5.159999999999654,16.439050264583322,1,34.79131152319316,2607,5.211999999999648,41,human_only,True
success,5.19199999999965,9.270644338491588,1,45.489880477749765,2623,5.2439999999996445,41,residual,True
success,10.066000000000031,10.933972581893723,1,50.50778150800661,5059,10.116000000000048,42,human_only,True
timeout,,26.13457752550431,1,166.53116069613466,9000,17.998000000000903,42,residual,False
success,10.682000000000237,29.305239133481443,1,141.41828676318502,5367,10.732000000000253,43,human_only,True
success,10.476000000000168,28.027689032078168,1,199.69981277454923,5264,10.526000000000185,43,residual,True
success,12.810000000000947,13.395558145021896,1,83.00468325490043,6431,12.860000000000964,44,human_only,True
success,12.836000000000956,9.319160656939143,1,120.4535101228886,6444,12.886000000000973,44,residual,True
success,15.84400000000196,8.730715164272715,1,82.82758807656437,7948,15.894000000001977,45,human_only,True
success,15.402000000001813,9.737537590435942,1,124.74690370136568,7727,15.45200000000183,45,residual,True
success,9.974,8.712246291888649,1,51.003660047098236,5013,10.024000000000017,46,human_only,True
success,9.893999999999973,12.02408612118849,1,115.2371206812013,4973,9.94399999999999,46,residual,True
force_abort,,44.598591791109065,1,14.24298812852965,1120,2.237999999999975,47,human_only,False
force_abort,,39.02970420136286,1,29.54502768464367,1123,2.2439999999999745,47,residual,False
success,4.691999999999705,17.872865521872008,1,27.761099972976936,2373,4.7439999999997,48,human_only,True
success,4.821999999999691,25.65858444530222,1,80.76787740519478,2438,4.873999999999685,48,residual,True
success,8.799999999999608,12.765871793435881,1,67.70670579599216,4426,8.849999999999625,49,human_only,True
success,8.699999999999575,9.301982659333333,1,88.68478703324517,4376,8.749999999999591,49,residual,True
success,3.1959999999998696,29.22829496245447,1,43.00609358061223,1625,3.247999999999864,50,human_only,True
force_abort,,33.376269655380746,1,37.63583267093316,1528,3.0539999999998853,50,residual,False
timeout,,8.667461422262232,1,92.95643337996374,9000,17.998000000000903,51,human_only,False
timeout,,9.206859435985228,1,156.67586645309808,9000,17.998000000000903,51,residual,False
force_abort,,35.83904398802985,1,19.32269440618992,1420,2.837999999999909,52,human_only,False
force_abort,,39.5350974246163,1,27.42912773821278,1421,2.839999999999909,52,residual,False
timeout,,8.656225049114495,1,81.54878650677304,9000,17.998000000000903,53,human_only,False
